date,diff
10957,0
10958,0.013237892
10959,0.01020371
10960,0.002779249
10961,-0.000638923
10962,-0.003894242
10963,-0.000551961
10964,0
10965,-0.002964287
10966,0.006170104
10967,-0.0011398
10968,-0.003683586
10969,-0.011281973
10970,0.003261589
10971,0
10972,-0.006561736
10973,-6.35E-05
10974,5.12E-05
10975,0.002426998
10976,-0.004489754
10977,-0.000305784
10978,0
10979,-0.006474529
10980,-0.000701657
10981,-0.000931343
10982,-0.011407269
10983,-0.011567802
10984,0.00293008
10985,0
10986,-0.008065089
10987,-0.000497007
10988,0.002639463
10989,0.011425639
10990,-0.006236209
10991,0.002642544
10992,0
10993,-0.004248481
10994,0.007746727
10995,0.005511816
10996,-0.005809639
10997,-0.00134089
10998,-0.001577182
10999,0
11000,-0.002568053
11001,0.000477478
11002,0.003368014
11003,0.003610958
11004,-0.00336361
11005,0.000309602
11006,0
11007,0.00084147
11008,0.018477032
11009,-0.001484485
11010,-0.01015939
11011,-0.016915031
11012,0.00165482
11013,0
11014,-0.008539816
11015,-0.002807013
11016,0.00528376
11017,-0.005849369
11018,-0.003520575
11019,0.001093011
11020,0
11021,-0.003099196
11022,-0.003145286
11023,0.001710711
11024,0.008053948
11025,-0.003411575
11026,-0.001893773
11027,0
11028,0.004268706
11029,-0.000457842
11030,0.002450911
11031,0.002508583
11032,7.72E-05
11033,-0.001089353
11034,0
11035,0.002890541
11036,-0.004989891
11037,-0.006839168
11038,0.009522401
11039,0.003688723
11040,-0.000226511
11041,0
11042,-0.007183777
11043,-0.00429957
11044,-0.009486983
11045,0.007184808
11046,-0.003385128
11047,-0.000622295
11048,0
11049,0.001673169
11050,0.002617047
11051,0.004282426
11052,-0.004425225
11053,-0.003387944
11054,-0.000940253
11055,0
11056,0.004768706
11057,-0.0010214
11058,-0.003039319
11059,-0.002660239
11060,0.004112377
11061,-0.000802608
11062,0
11063,-0.002105472
11064,-0.006710724
11065,-0.008039827
11066,-0.002273864
11067,0.000266477
11068,-4.22E-05
11069,0
11070,0.001372471
11071,-0.015274354
11072,-0.001824265
11073,-0.011437679
11074,-0.001710355
11075,-0.000175969
11076,0
11077,0.004965539
11078,-0.005892173
11079,-0.015313264
11080,-0.001530278
11081,0.006249421
11082,0.000838165
11083,0
11084,-0.003887434
11085,0.009499673
11086,0.007354969
11087,-0.009285004
11088,0.010578539
11089,-0.00160639
11090,0
11091,0.002339579
11092,-0.008949402
11093,-0.010564088
11094,0.000502591
11095,0.001447802
11096,-0.002509051
11097,0
11098,0.010265107
11099,0.002498213
11100,0.002408943
11101,-4.95E-06
11102,0.020180272
11103,-0.00550276
11104,0
11105,0.004799925
11106,0.004683163
11107,0.001621594
11108,-0.001977902
11109,0.009305548
11110,-0.002583094
11111,0
11112,0.008332749
11113,0.00736471
11114,0.005716903
11115,-0.002396614
11116,-0.005339357
11117,-0.001399499
11118,0
11119,0.002536616
11120,0.007081278
11121,-0.000302609
11122,-0.007219487
11123,0.010475133
11124,-0.002948423
11125,0
11126,0.000251091
11127,-0.004448429
11128,-0.010974232
11129,-0.006693697
11130,-0.001812968
11131,0.001991035
11132,0
11133,-0.001695071
11134,0.007446081
11135,-0.00170165
11136,0.00864437
11137,0.002654717
11138,0.000565911
11139,0
11140,-0.003761019
11141,-0.000231537
11142,0.003009703
11143,-0.002067476
11144,-0.004236609
11145,2.24E-05
11146,0
11147,0.005768697
11148,-0.002039008
11149,-0.008759541
11150,-0.007187837
11151,0.001594344
11152,-0.001077807
11153,0
11154,-0.000576033
11155,-0.005532272
11156,-0.006570681
11157,0.006478181
11158,0.006240225
11159,0.000649599
11160,0
11161,-0.004278936
11162,0.006610342
11163,0.00208616
11164,-0.007375962
11165,-0.009229235
11166,0.000869924
11167,0
11168,0.001056885
11169,-0.006136855
11170,-0.00719456
11171,-0.007647251
11172,0.00164323
11173,-0.001346396
11174,0
11175,0.003424337
11176,-0.006748069
11177,-0.003692089
11178,0.008278309
11179,-0.001536371
11180,0.002926127
11181,0
11182,-0.004366606
11183,0.009094789
11184,0.000644053
11185,0.002185017
11186,-0.008195405
11187,0.001790579
11188,0
11189,-0.00735552
11190,-0.004977471
11191,0.000372008
11192,0.004690923
11193,0.000216573
11194,-0.000239364
11195,0
11196,-0.00202543
11197,-0.005663772
11198,-0.00228891
11199,-0.003951494
11200,0.009678941
11201,-0.003103156
11202,0
11203,0.004293212
11204,-0.010460103
11205,-0.016540801
11206,0.000646998
11207,-0.003764203
11208,0.002136363
11209,0
11210,-0.011039184
11211,0.001369305
11212,0.001195025
11213,0.001682202
11214,-0.007124998
11215,0.001666923
11216,0
11217,-0.005627721
11218,-0.001371659
11219,-0.004770219
11220,0.009270905
11221,0.024275724
11222,0.003166436
11223,0
11224,-0.010046792
11225,0.007164312
11226,0.001854088
11227,-0.000631607
11228,-0.000402946
11229,-0.002232849
11230,0
11231,0.000148556
11232,-0.005146078
11233,-0.000897757
11234,-0.003167471
11235,-0.002028279
11236,0.000910534
11237,0
11238,-0.000919585
11239,0.002036572
11240,-0.000249225
11241,-0.006731462
11242,-0.007161576
11243,0.002194563
11244,0
11245,-0.008769218
11246,0.003160066
11247,-0.012176284
11248,0.001410424
11249,-0.000466416
11250,0.001491083
11251,0
11252,-0.006972535
11253,0.00091632
11254,-0.009131406
11255,-0.000165877
11256,0.011104993
11257,-0.002617731
11258,0
11259,0.007176327
11260,0.004166283
11261,0.011506851
11262,0.001540361
11263,0.004771238
11264,0.004398207
11265,0
11266,-0.008980495
11267,-0.001093277
11268,-0.004220325
11269,0.005430719
11270,0.00191916
11271,0.001971868
11272,0
11273,-0.004049647
11274,-0.003576311
11275,0.000502985
11276,-0.004498445
11277,-0.003273997
11278,0.000929448
11279,0
11280,-0.001973643
11281,-0.004138406
11282,-0.001491915
11283,-0.002336246
11284,-0.00105182
11285,0.001699478
11286,0
11287,0.007640482
11288,0.006551111
11289,0.003426921
11290,0.011190091
11291,0.006552985
11292,-0.000783056
11293,0
11294,0.011850494
11295,-0.007424322
11296,0.00800201
11297,0.001106962
11298,-0.005512877
11299,0.001599512
11300,0
11301,-0.008454752
11302,0.00160569
11303,-0.003500724
11304,0.01157801
11305,0.009807375
11306,-0.00013351
11307,0
11308,-0.002880059
11309,-0.002083719
11310,0.015142862
11311,0.006291183
11312,0.010486954
11313,0.000913862
11314,0
11315,-0.000560488
11316,0.005271043
11317,0.00102629
11318,-0.002657456
11319,0.010536187
11320,-0.002121082
11321,0
11322,0.001839476
11323,0.009239599
11324,-0.008254117
11325,0.008590677
